review_text,review_rating
"Kalau boleh saran, mau pergi belanja kesini musti pagi2 benar biar gak kejebak macet.. Tokonya ramai banget soalnya, antri kasir luar biasa panjang.. Wajar lah yah.. Lengkap soalnya, nyari apapun ada disini👍",5
"Berbicara tempat belanja keperluan sekolah dan ATK, maka Toko Agung adalah referensi paling utama. Karena tidak ada yang tidak ada disini.

Terletak di Jl. Ratulangi, tepat di depan Mall Ratu Indah. Terlihat jelas dengan gedungnya yang lumayan besar, area parkirannya yang padat kendaraan serta kerumunan orang dengan belanjaan.  Itu baru diluar, didalam apalagi. Puluhan rak-rak panjang besar dengan segala barang yang diperdagangkan. Kaca-kaca etalase yang menjalar di sisi gedung. Ratusan karyawannya yang berseragam. Ribuan pengunjung yang berdesak-desakan. Dan jutaan produk yang dijual mulai dari keperluan sekolah, kantor, mainan, ulang tahun, rumah tangga, perkakas, boneka, atau barang-barang lain yang akan dijual kembali.

Perputaran barang begitu cepat. Bermuara di puluhan kasir yang cekatan. Kelihaian jemarinya menangani barcode dari produk yang sangat banyak. Melayani pembeli yang begitu melimpah. Menciptakan antrian panjang sekalipun telah dibuka banyak pintu kasir.

NB: Bawalah uang tunai. Agak tidak repot jika pembayaran menggunakan kartu debit/kredit. Mesti mondar-mandir.",5
All kebutuhan ATK ada dan Lengkap dsni.,5
suka belanja disini karena murah..☺,5
"Parah , penginputan quantity melebihi barang yg di beli, gk sesuai scan barangnya dobel,dobel bayarnya njirr . Yg beli banyak hati2 kak, perhatiin bener2 jangan sampe ketemu kasir nakal",1
Toko yang menyediakan ATK paling lengkap dengan harga yang cukup terjangkau,5
"Komplit, Murah, tapi harus tahu jam yang pas menghindari terlalu ramai. Karena toko ini jarang sepi.",4
"toko alat tulis kantor,peralatan sekolah,aneka plastik,mainan anak -anak,sampai peralatan rumah tangga,semua ada disini dan cukup lengkap,lahan parkiran luas,dan akses sangat mudah dijangkau,harga juga sangat bersaing,pokoknya mantap lah...",5
"ya kita taulah Toko Agung, pusat perlengkapan ATK yg parkirannya tak pernah kosong. ntapp",5
Tukang parkir bikin emosi saja masa sang customer yang mengeluarkan motor nya sendiri dan saat mengeluarkan motor lasung di banting saja motor customer 😡😡😡😡😡😡,1
"Inilah toko yang sering bikin macet di Ratulangi. Tempat grosiran alat tulis paling lengkap se-Kota Makassar. Pernah katanya mau pindah tempat, tapi belum pindah2 tuh sampe sekarang.",5
"Teruntuk Management atau Tim HR Toko Agung Makassar, Saya sangat merasa di kecewakan padahal saya cuma bertanya tapi di jawab dengan bentakan dan tidak sopan dengan mengarahkan nada teriak, Sebagai masukan mohon sebelum bekerja disampaikan agar memberi pelayanan yg baik Service Excellent agar nama Baik toko agung bisa lebih terjaga

Saya lihat sebagian besar Karyawan agung Sistem senioritasnya keras sampe” di lampiaskan ke Custumer",1
"Lengkap,murah .kalau mau sepi datangnya pagi",5
Toko yang dari dulu hingga sekarang selalu ramai dan padat pengunjung. Harga terjangkau dan tukang parkirnya ramah. Dikasih  ala kadarnya cuma tersenyum.,5
"Tempat sangat bagus dan lengkap, untuk mobil ada parkir khususnya jadi tidak terganggu dengan motor.",5
